Doc_ID	License
https://www.ssoar.info/ssoar/handle/document/75392	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/75689	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/75690	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/75828	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/76005	Creative Commons - Attribution-noncommercial 4.0
https://www.ssoar.info/ssoar/handle/document/76784	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/77154	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/77558	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/77659	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/78078	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/78525	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/78526	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/78549	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/78571	Creative Commons - Attribution 3.0
https://www.ssoar.info/ssoar/handle/document/78725	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79121	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79156	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79197	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79429	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79451	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79454	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79468	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79474	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79532	Creative Commons - Attribution-noncommercial 4.0
https://www.ssoar.info/ssoar/handle/document/79549	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79550	Creative Commons - Attribution-noncommercial 4.0
https://www.ssoar.info/ssoar/handle/document/79619	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79636	Creative Commons - Attribution-noncommercial-No Derivative Works 4.0
https://www.ssoar.info/ssoar/handle/document/79639	Creative Commons - Attribution 4.0
https://www.ssoar.info/ssoar/handle/document/79642	Creative Commons - Attribution-noncommercial 4.0
